,CH1,CH2,CH3,CH4
,14.9049,131.755,135.147,1.02941
,14.9147,130.529,133.775,1.22549
,14.9123,129.206,132.5,0.882353
,14.8706,128.127,131.324,0.735294
,14.8436,126.853,129.755,0.931373
,14.8436,125.578,128.725,1.02941
,14.8387,124.304,126.912,0.931373
,14.8363,122.735,125.539,0.686275
,14.8583,121.265,123.971,0.931373
,14.8828,120.382,122.598,0.980392
,14.8853,118.912,121.275,0.882353
,14.8706,117.588,119.902,0.980392
,14.8853,116.118,118.725,0.784314
,14.873,114.941,117.402,0.833333
,14.8461,113.52,116.029,0.882353
,14.851,112.245,114.608,0.637255
,14.8632,111.265,113.431,1.07843
,14.8314,109.598,111.961,0.882353
,14.8412,108.422,110.98,0.784314
,14.8657,107.098,109.51,0.784314
,14.8412,105.922,108.186,0.784314
,14.8608,104.5,107.01,0.735294
,14.8387,103.078,105.686,0.490196
,14.8706,101.755,104.216,0.539216
,14.8608,100.824,103.088,0.588235
,14.8216,99.6961,101.961,0.490196
,14.8436,98.1275,100.735,0.588235
,14.8755,96.6569,99.7059,0.686275
,14.8583,95.3824,98.0882,0.686275
,14.8044,94.1569,96.7157,0.784314
,14.8534,92.8333,95.4902,0.931373
,14.8338,91.3137,94.5098,0.980392
,14.8314,89.9412,93.0392,0.588235
,14.8216,89.0588,91.9608,0.833333
,14.8363,87.5882,90.5392,0.686275
,14.851,85.8725,89.4608,0.686275
,14.8632,84.6961,88.2353,0.784314
,14.8657,83.2255,87.0098,0.784314
,14.8632,81.8039,85.2941,0.490196
,14.851,80.1863,83.6765,0.343137
,14.8069,78.6667,82.598,0.637255
,14.8461,77.3431,81.3725,0.784314
,14.8338,76.0686,80.098,0.833333
,14.8436,74.6471,78.5294,0.833333
,14.8289,72.9314,77.5,0.784314
,14.7971,71.6078,76.3725,0.686275
,14.7897,70.4314,75.2941,0.441176
,14.8265,69.3039,74.1667,0.441176
,14.8265,67.8824,72.549,0.735294
,14.8412,66.5098,71.2255,0.637255
,14.8191,65.4314,70.1961,0.441176
,14.802,64.1078,68.8235,0.637255
,14.8191,63.0294,67.6961,0.686275
,14.8583,61.8039,66.2745,0.441176
,14.8583,60.1863,65.049,0.441176
,14.7652,59.3529,63.6275,0.343137
,14.7652,58.2745,62.5,0.490196
,14.7897,57.098,61.4706,0.196078
,14.7946,55.9706,60.098,0.343137
,14.8118,54.598,58.5784,0.539216
,14.824,53.1765,57.3039,0.441176
,14.8387,52.1471,55.8824,0.294118
,14.8289,51.0196,54.8039,0.392157
,14.8387,50.1373,53.4314,0.735294
,14.7971,48.7647,52.0588,0.588235
,14.7652,47.4902,51.2745,0.343137
,14.7652,46.3627,50.049,0.294118
,14.775,44.9412,48.8235,0.539216
,14.7922,43.6176,47.3529,0.441176
,14.8289,42.4902,46.0784,0.588235
,14.7995,41.3627,45.098,0.784314
,14.7848,40.0882,44.1176,0.637255
,14.7578,38.8627,42.7451,0.686275
